date,no2(ppm)
2018-01-01,0.029
2018-01-02,0.035
2018-01-03,0.024
2018-01-04,0.039
2018-01-05,0.05
2018-01-06,0.035
2018-01-07,0.055
2018-01-08,0.053
2018-01-09,0.02
2018-01-10,0.016
2018-01-11,0.017
2018-01-12,0.029
2018-01-13,0.057
2018-01-14,0.051
2018-01-15,0.052
2018-01-16,0.076
2018-01-17,0.058
2018-01-18,0.037
2018-01-19,0.038
2018-01-20,0.052
2018-01-21,0.039
2018-01-22,0.05
2018-01-23,0.014
2018-01-24,0.014
2018-01-25,0.015
2018-01-26,0.018
2018-01-27,0.043
2018-01-28,0.018
2018-01-29,0.018
2018-01-30,0.046
2018-01-31,0.036
2018-02-01,0.041
2018-02-02,0.053
2018-02-03,0.018
2018-02-04,0.013
2018-02-05,0.019
2018-02-06,0.016
2018-02-07,0.039
2018-02-08,0.06
2018-02-09,0.076
2018-02-10,0.034
2018-02-11,0.018
2018-02-12,0.024
2018-02-13,0.039
2018-02-14,0.041
2018-02-15,0.018
2018-02-16,0.031
2018-02-17,0.015
2018-02-18,0.029
2018-02-19,0.051
2018-02-20,0.033
2018-02-21,0.026
2018-02-22,0.046
2018-02-23,0.049
2018-02-24,0.032
2018-02-25,0.036
2018-02-26,0.064
2018-02-27,0.085
2018-02-28,0.061
2018-03-01,0.021
2018-03-02,0.042
2018-03-03,0.058
2018-03-04,0.045
2018-03-05,0.031
2018-03-06,0.036
2018-03-07,0.04
2018-03-08,0.025
2018-03-09,0.04
2018-03-10,0.046
2018-03-11,0.031
2018-03-12,0.066
2018-03-13,0.056
2018-03-14,0.04
2018-03-15,0.037
2018-03-16,0.033
2018-03-17,0.036
2018-03-18,0.047
2018-03-19,0.042
2018-03-20,0.028
2018-03-21,0.029
2018-03-22,0.039
2018-03-23,0.05
2018-03-24,0.055
2018-03-25,0.049
2018-03-26,0.067
2018-03-27,0.06
2018-03-28,0.043
2018-03-29,0.042
2018-03-30,0.049
2018-03-31,0.046
2018-04-01,0.039
2018-04-02,0.039
2018-04-03,0.042
2018-04-04,0.031
2018-04-05,0.039
2018-04-06,0.025
2018-04-07,0.017
2018-04-08,0.027
2018-04-09,0.05
2018-04-10,0.042
2018-04-11,0.032
2018-04-12,0.034
2018-04-13,0.047
2018-04-14,0.024
2018-04-15,0.02
2018-04-16,0.035
2018-04-17,0.048
2018-04-18,0.045
2018-04-19,0.059
2018-04-20,0.07
2018-04-21,0.057
2018-04-22,0.043
2018-04-23,0.031
2018-04-24,0.037
2018-04-25,0.044
2018-04-26,0.049
2018-04-27,0.056
2018-04-28,0.046
2018-04-29,0.038
2018-04-30,0.046
2018-05-01,0.033
2018-05-02,0.035
2018-05-03,0.025
2018-05-04,0.038
2018-05-05,0.039
2018-05-06,0.034
2018-05-07,0.039
2018-05-08,0.038
2018-05-09,0.03
2018-05-10,0.037
2018-05-11,0.04
2018-05-12,0.046
2018-05-13,0.029
2018-05-14,0.052
2018-05-15,0.063
2018-05-16,0.038
2018-05-17,0.038
2018-05-18,0.032
2018-05-19,0.034
2018-05-20,0.034
2018-05-21,0.043
2018-05-22,0.04
2018-05-23,0.022
2018-05-24,0.049
2018-05-25,0.046
2018-05-26,0.055
2018-05-27,0.035
2018-05-28,0.048
2018-05-29,0.042
2018-05-30,0.038
2018-05-31,0.039
2018-06-01,0.05
2018-06-02,0.05
2018-06-03,0.037
2018-06-04,0.045
2018-06-05,0.039
2018-06-06,0.033
2018-06-07,0.04
2018-06-08,0.023
2018-06-09,0.043
2018-06-10,0.027
2018-06-11,0.027
2018-06-12,0.027
2018-06-13,0.037
2018-06-14,0.042
2018-06-15,0.036
2018-06-16,0.031
2018-06-17,0.031
2018-06-18,0.041
2018-06-19,0.045
2018-06-20,0.025
2018-06-21,0.026
2018-06-22,0.045
2018-06-23,0.042
2018-06-24,0.029
2018-06-25,0.057
2018-06-26,0.044
2018-06-27,0.04
2018-06-28,0.047
2018-06-29,0.046
2018-06-30,0.041
2018-07-01,0.031
2018-07-02,0.045
2018-07-03,0.031
2018-07-04,0.033
2018-07-05,0.029
2018-07-06,0.022
2018-07-07,0.029
2018-07-08,0.028
2018-07-09,0.026
2018-07-10,0.035
2018-07-11,0.028
2018-07-12,0.021
2018-07-13,0.026
2018-07-14,0.028
2018-07-15,0.018
2018-07-16,0.029
2018-07-17,0.024
2018-07-18,0.03
2018-07-19,0.024
2018-07-20,0.037
2018-07-21,0.039
2018-07-22,0.027
2018-07-23,0.029
2018-07-24,0.041
2018-07-25,0.035
2018-07-26,0.036
2018-07-27,0.033
2018-07-28,0.036
2018-07-29,0.027
2018-07-30,0.037
2018-07-31,0.038
2018-08-01,0.034
2018-08-02,0.044
2018-08-03,0.036
2018-08-04,0.02
2018-08-05,0.013
2018-08-06,0.029
2018-08-07,0.034
2018-08-08,0.023
2018-08-09,0.023
2018-08-10,0.027
2018-08-11,0.039
2018-08-12,0.031
2018-08-13,0.031
2018-08-14,0.034
2018-08-15,0.038
2018-08-16,0.033
2018-08-17,0.039
2018-08-18,0.029
2018-08-19,0.034
2018-08-20,0.045
2018-08-21,0.033
2018-08-22,0.044
2018-08-23,0.028
2018-08-24,0.023
2018-08-25,0.033
2018-08-26,0.03
2018-08-27,0.037
2018-08-28,0.032
2018-08-29,0.028
2018-08-30,0.036
2018-08-31,0.03
2018-09-01,0.042
2018-09-02,0.031
2018-09-03,0.038
2018-09-04,0.02
2018-09-05,0.026
2018-09-06,0.046
2018-09-07,0.024
2018-09-08,0.027
2018-09-09,0.03
2018-09-10,0.038
2018-09-11,0.039
2018-09-12,0.041
2018-09-13,0.047
2018-09-14,0.043
2018-09-15,0.039
2018-09-16,0.023
2018-09-17,0.027
2018-09-18,0.038
2018-09-19,0.049
2018-09-20,0.046
2018-09-21,0.037
2018-09-22,0.031
2018-09-23,0.024
2018-09-24,0.012
2018-09-25,0.023
2018-09-26,0.026
2018-09-27,0.03
2018-09-28,0.037
2018-09-29,0.036
